camera,date,filename,location,time,url
SM-S908B,17.August 2025,20250817_143512,20250817_143512,Sunday 14:35,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::M0l4UExZeHlkOHJNWGpuY1F1SXBrZz09?height=1080
iPhone 15 Pro Max,17.August 2025,IMG_8966,"Etzelstrasse 62, 8038 Zürich, Switzerland",Sunday 14:13,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::Y1dnNlJqdWswYnV0ZG04S1QxbkJKdz09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8965_1755451252703,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 22:20,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::RlhDYVNZa0NiZ1dKTTk4c0s5RUpUdz09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8964_1755451254425,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 22:19,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::dDhEOVh6Vm4wNldJWDRieUJzK0xidz09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8963_1755451256117,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 22:19,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::MWZJdCsvZWNUVWliaHN6eVdVa0UyZz09?height=1080
,16.August 2025,IMG_8962_1755451258020,IMG_8962_1755451258020,Saturday 22:13,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::VzlJYjBmZE1uc0h4V1kxOHNYVTdZQT09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8961_1755451260690,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 22:12,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::YUpoaTVwTjJTOWtEQzJtNi94bGZhUT09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8959_1755451264055,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 21:59,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::czBCQVdZd0JQci9xOHBJeE5EMTBxZz09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8958_1756673152113,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 21:59,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::YmRaNWlSQTVGZytmNjBROXk4UW95UT09?height=1080
iPhone 15 Pro Max,16.August 2025,IMG_8957_1756673156678,"Landiwiese, Mythenquai, 8038 Zürich, Switzerland",Saturday 21:59,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::VHNpa2RtY2NPYkZwbHprWGFrU244QT09?height=1080
SM-S908B,16.August 2025,20250816_215835,20250816_215835,Saturday 21:58,https://thumbnailer-proxy-0.prod.mdl.swisscom.ch/thumbnail/Storage::Photos::Asset::cDZIUkFGRWZVYUhuRzdCcFI5VldzUT09?height=1080
